热搜话题,热度值,上榜时间,上榜日期,上榜小时,话题分类,上榜排名,持续时长
四级作文,2685351,2026/6/13 7:01,2026/6/13,7,教育,1,13
学校凭啥把艾滋检测塞进新生体检,2600584,2026/6/13 5:12,2026/6/13,5,社会,2,12
加拿大开幕式 翻车,1953996,2026/6/13 1:25,2026/6/13,1,暂无,3,11
六级,1782139,2026/6/13 7:18,2026/6/13,7,教育,4,10
张雪机车六冠王,1394935,2026/6/13 2:33,2026/6/13,2,暂无,5,9
张碧晨淘汰,1310761,2026/6/13 8:06,2026/6/13,8,明星-内地,6,8
四级,1221997,2026/6/13 7:29,2026/6/13,7,教育,7,8
中国不需要也不可能复制SpaceX,1166212,2026/6/13 6:17,2026/6/13,6,社会,8,7
俞小平被查,923491,2026/6/13 4:08,2026/6/13,4,时事,9,7
青春华章两弹一星铸丰碑,895718,2026/6/13 6:29,2026/6/13,6,时事,10,6
原来瘦了真的会变聪明,885125,2026/6/13 9:11,2026/6/13,9,暂无,11,6
凡人修仙传,871334,2026/6/13 9:22,2026/6/13,9,动漫-国产动漫,12,5
男子报警称满月婴儿被保姆抱走,834290,2026/6/13 5:36,2026/6/13,5,社会,13,5
一代代中国人守护华夏文脉,807030,2026/6/13 6:44,2026/6/13,6,社会,14,5
文化中国行赏非遗之美,799643,2026/6/13 6:58,2026/6/13,6,社会,15,4
女生分手男方要求返还彩礼被告强奸,796265,2026/6/13 5:49,2026/6/13,5,社会,16,4
何炅你不喜欢可以不说,792295,2026/6/13 8:31,2026/6/13,8,明星,17,4
加拿大1比1波黑,786275,2026/6/13 2:47,2026/6/13,2,暂无,18,4
四级作文 看不懂,785001,2026/6/13 7:42,2026/6/13,7,暂无,19,3
我的朋友圈点赞原则,776519,2026/6/13 9:35,2026/6/13,9,暂无,20,3
六级翻译,774696,2026/6/13 7:55,2026/6/13,7,教育,21,3
马宁哭了,774424,2026/6/13 3:12,2026/6/13,3,体育,22,3
4个小时的拼豆就这样白拼了,774285,2026/6/13 9:48,2026/6/13,9,暂无,23,3
英格兰队遭盗窃只剩1个足球,700552,2026/6/13 3:25,2026/6/13,3,社会,24,2
突然理解了自己为什么物欲这么高,696123,2026/6/13 10:02,2026/6/13,10,搞笑,25,2
雷军回应装600斤车厘子被指违规,674657,2026/6/13 10:14,2026/6/13,10,财经,26,2
歌手补位,657180,2026/6/13 8:47,2026/6/13,8,明星-内地,27,2
各地抢收小麦进度条全力冲刺,644747,2026/6/13 7:06,2026/6/13,7,社会,28,2
Prada内外网的认领顺序,641512,2026/6/13 8:59,2026/6/13,8,明星,29,2
睡觉的权威性我后知后觉,639977,2026/6/13 10:27,2026/6/13,10,暂无,30,2
长生骨,617358,2026/6/13 10:39,2026/6/13,10,暂无,31,2
林俊杰蔡依林合体鸟巢,610731,2026/6/13 9:05,2026/6/13,9,明星,32,2
活力中国调研行,595706,2026/6/13 7:19,2026/6/13,7,社会,33,2
含蓄的中国人终于抽象到老外了,586405,2026/6/13 10:52,2026/6/13,10,暂无,34,2
穿洞洞鞋记得坐垂直电梯,490646,2026/6/13 11:04,2026/6/13,11,暂无,35,1
31岁幼师溺水身亡母亲悲痛发声,487341,2026/6/13 5:22,2026/6/13,5,社会,36,1
王玉雯一把薅走王安宇,458134,2026/6/13 11:17,2026/6/13,11,综艺,37,1
王安宇说当年很勉强才考上中传,444288,2026/6/13 6:11,2026/6/13,6,社会,38,1
男子带10万现金还贷被银行拒收,443171,2026/6/13 6:23,2026/6/13,6,社会,39,1
韩国网友批Lisa世界杯开幕式歌曲低俗,441118,2026/6/13 3:38,2026/6/13,3,体育,40,1
侯明昊 歌手,436228,2026/6/13 11:29,2026/6/13,11,综艺,41,1
C罗出发了,434179,2026/6/13 3:51,2026/6/13,3,暂无,42,1
Bin MSI我又来了,433600,2026/6/13 4:03,2026/6/13,4,暂无,43,1
四级翻译 一日为师终身为父,423338,2026/6/13 8:14,2026/6/13,8,暂无,44,1
四级答案,413856,2026/6/13 7:30,2026/6/13,7,教育,45,1
美国4比1巴拉圭,409781,2026/6/13 4:16,2026/6/13,4,体育,46,1
美国队门将曾为进哈佛拒绝曼联,404156,2026/6/13 4:28,2026/6/13,4,体育,47,1
莫离,402435,2026/6/13 9:16,2026/6/13,9,电视剧,48,1
Angelababy的榜一是陈赫,400195,2026/6/13 11:41,2026/6/13,11,明星,49,1
王俊凯工作室老板知道这号吗,400115,2026/6/13 11:54,2026/6/13,11,明星,50,1
