热搜话题,热度值,上榜时间,上榜日期,上榜小时,话题分类,上榜排名,持续时长
西班牙0比0战平佛得角,1519270,2026/6/16 0:09,2026/6/16,0,体育,1,13
西班牙vs佛得角,1490690,2026/6/16 0:18,2026/6/16,0,体育,2,12
百花奖入围名单,1391261,2026/6/16 8:05,2026/6/16,8,电影,3,11
伊朗队被勒令离开美国,1145553,2026/6/16 1:12,2026/6/16,1,体育,4,10
世界杯开赛以来最大冷门,1007411,2026/6/16 0:27,2026/6/16,0,体育,5,9
佛得角官方感谢中国帮圆梦世界杯,996391,2026/6/16 1:25,2026/6/16,1,体育,6,8
教育部升级2026高考志愿信息系统,972781,2026/6/16 7:11,2026/6/16,7,社会,7,8
过程全错结果全对了,921691,2026/6/16 9:06,2026/6/16,9,暂无,8,7
檀健次与王楚然身高差,886590,2026/6/16 8:17,2026/6/16,8,电视剧,9,7
不要和上班的人诉苦,863761,2026/6/16 9:19,2026/6/16,9,搞笑,10,6
中方回应欧盟称中国训练俄军事人员,852151,2026/6/16 4:22,2026/6/16,4,时事,11,6
一图看懂基建六张网,842652,2026/6/16 7:24,2026/6/16,7,社会,12,5
爸爸亲子活动猝死幼儿园被指救援不力,834506,2026/6/16 5:37,2026/6/16,5,社会,13,5
世界杯第一张神图诞生,830232,2026/6/16 1:38,2026/6/16,1,体育,14,4
佛得角门将哭了,782983,2026/6/16 1:51,2026/6/16,1,体育,15,4
百花奖还没原谅沈腾吗,771203,2026/6/16 8:32,2026/6/16,8,明星,16,4
华为盘古大模型,749286,2026/6/16 9:31,2026/6/16,9,暂无,17,3
吴倩说和张雨剑现在关系还算融洽,741848,2026/6/16 8:45,2026/6/16,8,明星,18,3
白鹿已争气争气再争气,731300,2026/6/16 8:58,2026/6/16,8,电视剧-国产剧,19,3
西班牙佛得角 看睡着了,705956,2026/6/16 2:04,2026/6/16,2,暂无,20,3
一组数据看我国外贸蓬勃活力,648203,2026/6/16 7:37,2026/6/16,7,社会,21,2
新郎回应4000元一桌婚宴上菜带冰渣,542793,2026/6/16 6:13,2026/6/16,6,社会,22,2
杜华曾求着程潇接工作,533961,2026/6/16 9:44,2026/6/16,9,明星,23,2
王宝强新片集齐老中青狠人,492083,2026/6/16 8:10,2026/6/16,8,电影,24,2
女子被困电梯救援时坠落身亡,483270,2026/6/16 5:50,2026/6/16,5,社会,25,2
海西地震已致1死4伤,478621,2026/6/16 6:26,2026/6/16,6,社会,26,2
工作量大的部门一般氛围很好,478218,2026/6/16 9:57,2026/6/16,9,暂无,27,2
美国一架B52轰炸机坠毁,427864,2026/6/16 3:15,2026/6/16,3,时事,28,2
2名环卫工人清晨被撞目击者发声,422305,2026/6/16 6:39,2026/6/16,6,社会,29,2
吴倩来参加浪姐吧,412029,2026/6/16 10:10,2026/6/16,10,明星,30,2
南派三叔 我是不吃压力不是不吃爆头,409340,2026/6/16 10:23,2026/6/16,10,暂无,31,2
饭店的预制菜忘记拆包装,408841,2026/6/16 10:36,2026/6/16,10,暂无,32,2
西班牙半场0比0佛得角,408547,2026/6/16 2:17,2026/6/16,2,暂无,33,2
亚马尔世界杯首秀,407402,2026/6/16 2:30,2026/6/16,2,暂无,34,2
现在知道短剧滤镜有多吓人了吧,407147,2026/6/16 10:49,2026/6/16,10,搞笑,35,2
AI投硬币概率是多少,405266,2026/6/16 11:02,2026/6/16,11,暂无,36,2
蒙淇淇向白鹿道歉,403049,2026/6/16 11:15,2026/6/16,11,明星,37,2
郭晓婷 王天辰,401224,2026/6/16 11:28,2026/6/16,11,暂无,38,2
海西地震,398938,2026/6/16 6:52,2026/6/16,6,暂无,39,2
李一桐主动调整署名顺序,398431,2026/6/16 11:41,2026/6/16,11,明星-内地,40,2
剧集十日终焉,395872,2026/6/16 11:54,2026/6/16,11,电视剧,41,1
曝张大大吃不到卤肉饭罢录节目,393777,2026/6/16 8:22,2026/6/16,8,明星-内地,42,1
日本加息,392960,2026/6/16 3:28,2026/6/16,3,暂无,43,1
姐姐被妹妹男友砍断手指七级伤残,392558,2026/6/16 5:14,2026/6/16,5,社会,44,1
双休和单休完全是两种人生,392448,2026/6/16 11:58,2026/6/16,11,暂无,45,1
日本地震,392385,2026/6/16 3:41,2026/6/16,3,社会,46,1
伊朗2比2新西兰,392270,2026/6/16 2:43,2026/6/16,2,体育,47,1
27岁女子遇害案母亲想出庭未获批准,390666,2026/6/16 5:27,2026/6/16,5,社会,48,1
武汉市委书记会见雷军,390141,2026/6/16 7:05,2026/6/16,7,社会,49,1
猫咪一不小心帅过头了,389350,2026/6/16 9:12,2026/6/16,9,暂无,50,1
