热搜话题,热度值,上榜时间,上榜日期,上榜小时,话题分类,上榜排名,持续时长
白鹿方六连辟谣,15531358,2026-06-12 08:05:16,2026-06-12,8,明星,1,14
白鹿学历,13264839,2026-06-12 08:12:49,2026-06-12,8,明星,2,13
世界杯开幕式,3648058,2026-06-12 00:18:32,2026-06-12,0,体育,3,12
世界杯开幕式 吓我一跳,2844543,2026-06-12 00:25:11,2026-06-12,0,暂无,4,11
歌手直播,2280205,2026-06-12 09:06:27,2026-06-12,9,综艺,5,10
老外也疑惑中国为什么不参加世界杯,2202242,2026-06-12 00:33:54,2026-06-12,0,暂无,6,9
南非 打人,1776239,2026-06-12 01:10:08,2026-06-12,1,暂无,7,8
网信办发布公约整治涉企侵权信息,1756187,2026-06-12 07:15:36,2026-06-12,7,社会,8,8
韩国vs捷克,1520153,2026-06-12 00:47:22,2026-06-12,0,体育,9,7
让文化遗产走进普通人生活,1446792,2026-06-12 07:28:19,2026-06-12,7,社会,10,7
中国队首发 labubu马宁,1320100,2026-06-12 01:26:45,2026-06-12,1,暂无,11,6
世界杯在中国的收视率爆了,1201843,2026-06-12 01:39:17,2026-06-12,1,体育,12,6
墨西哥2比0南非,1121771,2026-06-12 02:04:31,2026-06-12,2,暂无,13,5
歌手也中途淘汰,994252,2026-06-12 09:22:05,2026-06-12,9,暂无,14,5
上下嘴唇一碰差点把自己毒死,968232,2026-06-12 09:37:44,2026-06-12,9,暂无,15,4
打卡中国,879798,2026-06-12 07:42:26,2026-06-12,7,旅游,16,4
买连衣裙 看手肘,879734,2026-06-12 10:01:12,2026-06-12,10,情感,17,4
25岁女子为保胎多器官衰竭进ICU,878872,2026-06-12 06:21:58,2026-06-12,6,社会,18,4
孙兴慜状态,860058,2026-06-12 02:18:29,2026-06-12,2,体育,19,3
现货黄金,856470,2026-06-12 10:14:37,2026-06-12,10,财经,20,3
活力中国调研行,759619,2026-06-12 07:56:03,2026-06-12,7,社会,21,3
周兴哲淘汰,755855,2026-06-12 10:28:15,2026-06-12,10,综艺-内地综艺,22,3
千万不要长时间戴耳机,715610,2026-06-12 10:41:22,2026-06-12,10,暂无,23,3
日本炸鸡店一锅油反复用66年,683024,2026-06-12 05:13:46,2026-06-12,5,时事,24,2
内娱闯不进去的赛道短剧闯进去了,677273,2026-06-12 10:55:09,2026-06-12,10,暂无,25,2
美国五角大楼被封锁,627712,2026-06-12 04:27:18,2026-06-12,4,时事,26,2
陈瑶拒绝了张月三次,622631,2026-06-12 11:08:34,2026-06-12,11,综艺,27,2
白鹿突然被叫本名的反应,586662,2026-06-12 08:45:21,2026-06-12,8,电视剧-国产剧,28,2
南部档案一集有三十分钟的二人转,584949,2026-06-12 08:59:16,2026-06-12,8,电视剧,29,2
李书福卸任极氪董事长职务,576825,2026-06-12 06:38:52,2026-06-12,6,社会,30,2
吃完虾千万不要剧烈运动,567505,2026-06-12 11:22:17,2026-06-12,11,暂无,31,2
特朗普称取消打击伊朗行动,565741,2026-06-12 03:11:43,2026-06-12,3,时事,32,2
世界杯 红牌比进球多,555558,2026-06-12 03:25:06,2026-06-12,3,暂无,33,2
白鹿好实在的女明星,549715,2026-06-12 09:13:28,2026-06-12,9,电视剧-国产剧,34,2
还得是夏奇拉,528810,2026-06-12 03:38:24,2026-06-12,3,暂无,35,1
官方通报女大学生腹泻6小时后身亡,511116,2026-06-12 05:49:15,2026-06-12,5,社会,36,1
念一辈子本科,496109,2026-06-12 11:36:41,2026-06-12,11,情感,37,1
中国航天又一次成功发射,494861,2026-06-12 06:55:37,2026-06-12,6,社会,38,1
迪丽热巴曾正面回应隐婚传闻,494805,2026-06-12 09:27:53,2026-06-12,9,明星-内地,39,1
labubu都进世界杯了,493738,2026-06-12 03:52:19,2026-06-12,3,暂无,40,1
能考85分偏考84分最后老师给了83,491835,2026-06-12 11:49:26,2026-06-12,11,暂无,41,1
把话说清楚是一种能力,487789,2026-06-12 11:55:13,2026-06-12,11,暂无,42,1
南部档案 读书,485484,2026-06-12 09:41:07,2026-06-12,9,读书,43,1
AI短片效果看到起鸡皮疙瘩了,482546,2026-06-12 11:58:42,2026-06-12,11,暂无,44,1
南非队两张红牌,481467,2026-06-12 04:06:25,2026-06-12,4,暂无,45,1
张元英身材就一个帽子厚度,478217,2026-06-12 09:54:31,2026-06-12,9,明星-日韩,46,1
王者荣耀亚运会名单公示,475298,2026-06-12 10:19:14,2026-06-12,10,游戏,47,1
夏奇拉不会老吗,474512,2026-06-12 04:19:57,2026-06-12,4,暂无,48,1
每月3000雇夫妻看管祖宅遭鸠占鹊巢,469365,2026-06-12 07:06:22,2026-06-12,7,社会,49,1
菲律宾国防部长华裔血统特别反华,465812,2026-06-12 05:33:08,2026-06-12,5,社会,50,1
