热搜话题,热度值,上榜时间,上榜日期,上榜小时,话题分类,上榜排名,持续时长
巴西醒醒 这是世界杯,11336962,2026-06-14 00:20:18,2026-06-14,0,暂无,1,13
巴西1比1摩洛哥,2187950,2026-06-14 00:07:26,2026-06-14,0,暂无,2,12
全国小麦收获进度已过8成,1662886,2026-06-14 07:22:35,2026-06-14,7,社会,3,11
小县城取消中考选拔全员直升高中,1497248,2026-06-14 00:05:41,2026-06-14,0,社会,4,10
世界杯出现了真正的预言家,1214409,2026-06-14 00:05:12,2026-06-14,0,情感,5,9
黄大炜去世,1137090,2026-06-14 07:11:09,2026-06-14,7,明星,6,8
巴西vs摩洛哥,1130013,2026-06-14 00:11:47,2026-06-14,0,体育,7,8
神23乘组要在太空过端午了,1115539,2026-06-14 07:12:28,2026-06-14,7,社会,8,7
王俊凯P领口,1112761,2026-06-14 00:06:33,2026-06-14,0,明星,9,7
上海还是太超前了,1105804,2026-06-14 07:16:42,2026-06-14,7,暂无,10,6
男子去世欠49万房贷父母放弃继承,1099583,2026-06-14 00:01:29,2026-06-14,0,社会,11,6
上班这件事不要本末倒置,1098543,2026-06-14 07:04:17,2026-06-14,7,暂无,12,5
大鱼海棠导演情商,1055930,2026-06-14 07:10:22,2026-06-14,7,电影,13,5
孙怡张若昀聊啥呢这么开心,1029403,2026-06-14 00:05:08,2026-06-14,0,暂无,14,4
考编第一被人递补维权后岗位取消,947846,2026-06-14 07:10:51,2026-06-14,7,社会,15,4
多地铁路开辟农资运输绿色通道,923911,2026-06-14 07:15:36,2026-06-14,7,财经,16,3
短剧香蜜沉沉烬如霜上线,915571,2026-06-14 00:15:44,2026-06-14,0,暂无,17,3
敖瑞鹏痛失4部第一顺位,887826,2026-06-14 03:03:21,2026-06-14,3,明星,18,3
王天辰郭晓婷新剧导演黄天仁,846406,2026-06-14 07:16:27,2026-06-14,7,明星,19,2
T1晋级MSI,820916,2026-06-14 00:02:48,2026-06-14,0,游戏,20,2
当我以为熬夜对我没有影响时,753705,2026-06-14 07:13:11,2026-06-14,7,情感,21,2
我国加速打造新一代新型电网,728523,2026-06-14 00:22:05,2026-06-14,0,社会,22,2
王俊凯憋不住了张若昀还在加料,724613,2026-06-14 07:15:19,2026-06-14,7,明星-内地,23,2
微博电影之夜内场,699466,2026-06-14 00:15:16,2026-06-14,0,明星-内地,24,2
美国女市长性侵16岁男孩被判90天监禁,694094,2026-06-14 07:10:07,2026-06-14,7,社会,25,2
人一旦在有地铁的城市待过,681847,2026-06-14 00:20:37,2026-06-14,0,情感,26,2
李思潼获奖感言,676936,2026-06-14 07:05:23,2026-06-14,7,明星-内地,27,2
一代代中国人守护华夏文脉,642739,2026-06-14 00:12:14,2026-06-14,0,社会,28,2
任嘉伦内娱新规第一人,636128,2026-06-14 07:05:19,2026-06-14,7,明星,29,2
鹿晗你真敢开口要,634505,2026-06-14 00:22:13,2026-06-14,0,综艺,30,2
那我花钱去拔智齿算什么,628538,2026-06-14 07:14:26,2026-06-14,7,暂无,31,2
尼克斯NBA总冠军,622183,2026-06-14 00:14:31,2026-06-14,0,体育,32,2
王濛戒酒吧我求你,617679,2026-06-14 07:15:28,2026-06-14,7,搞笑,33,2
突然理解了自己为什么物欲这么高,603398,2026-06-14 00:04:57,2026-06-14,0,搞笑,34,2
汉密尔顿法拉利生涯首冠,598480,2026-06-14 07:10:43,2026-06-14,7,暂无,35,2
澳大利亚vs土耳其,547142,2026-06-14 00:05:12,2026-06-14,0,体育,36,2
机器人伴侣仅限成人购买,524963,2026-06-14 07:01:38,2026-06-14,7,社会,37,2
军师 你别偷偷跟你女朋友聊天了,487742,2026-06-14 00:07:24,2026-06-14,0,暂无,38,2
拍照没网感的原因找到了,481276,2026-06-14 07:14:39,2026-06-14,7,情感,39,1
唐僧要是被他抓了孙悟空都来不及救,449965,2026-06-14 00:03:17,2026-06-14,0,暂无,40,1
阿嬷的情书 全家人都爱你们,447427,2026-06-14 07:05:06,2026-06-14,7,暂无,41,1
网友说陈坤被替换了,447406,2026-06-14 00:22:09,2026-06-14,0,明星,42,1
F1,439849,2026-06-14 07:14:28,2026-06-14,7,体育,43,1
白鹿手臂居然是自己咬的,439235,2026-06-14 00:01:54,2026-06-14,0,电视剧-国产剧,44,1
沈腾以为神级救场 结果全漏了,432659,2026-06-14 07:15:23,2026-06-14,7,暂无,45,1
女子患上美女病严重者可导致瘫痪,428394,2026-06-14 00:21:46,2026-06-14,0,社会,46,1
卡塔尔补时绝平,426867,2026-06-14 07:04:11,2026-06-14,7,体育,47,1
我的朋友圈点赞原则,425460,2026-06-14 00:07:19,2026-06-14,0,暂无,48,1
孙怡胸口怎么了,424811,2026-06-14 07:19:04,2026-06-14,7,明星,49,1
10家A股公司退市 超25万股民踩雷,418846,2026-06-14 00:19:46,2026-06-14,0,暂无,50,1
